BundleCode,ItemCode,Quantity
Bundle001,55300 The Bartesian Cocktail Maker Machine,1
Bundle001,40036 Capsule Drawer,1
Bundle001,55417 8-Pack Classic Collection Variety Pack,1
Bundle001,75547 8-Pack Vodka Lovers Variety Pack,1
Bundle001,55397 8-Pack Whiskey Lovers Variety Pack,1
Bundle001,75546 8-Pack Gin Lovers Variety Pack,1
Bundle001,55507 8-Pack Tropical Collection,1
Bundle002,55300 The Bartesian Cocktail Maker Machine,1
Bundle002,850024487284 Capsule Drawer,1
Bundle002,55417C 8-Pack Classic Collection Variety Pack - Canada,1
Bundle002,75547C 8-Pack Vodka Lovers Variety Pack - Canada,1
Bundle002,55397C 8-Pack Whiskey Lovers Variety Pack - Canada,1
Bundle002,75546C 8-Pack Gin Lovers Variety Pack - Canada,1
Bundle002,55507C 8-Pack Tropical Collection - Canada,1
